"nct_id","Study.Status","Interventions","Primary.Outcome.Measures","Secondary.Outcome.Measures","Sponsor","Phases","Start.Date","Primary.Completion.Date"
"NCT03402503","COMPLETED","DRUG: Montelukast buccal film|OTHER: Placebo buccal film","Global Neuropsychological test battery (NTB) Composite, Evaluate if treatment with montelukast new buccal film is superior to placebo, assessed at Week 26 using the global NTB composite score. The NTB score will be used to assess cognitive and behavioral functions including problem-solving and conceptualization. The composite score will be based on an equally weighted average of standardized change from baseline scores on the following tests: International Shopping List Test (ISLT), ISLT-Delay, One Back Test, One Card Learning Test, Verbal Fluency Test, Category Fluency Test, Identification Test and Detection Test., To be conducted at Visit 2 (Baseline), Visit 4 (Week 6), Visit 6 (Week 12) and Visit 8 (Week 26)","Global Neuropsychological test battery (NTB) Composite, Evaluate whether 6 and 12 weeks treatment with montelukast is superior to placebo, assessed using the global NTB composite scores. The NTB score will be used to assess cognitive and behavioral functions including problem-solving and conceptualization. he composite score will be based on an equally weighted average of standardized change from baseline scores on the following tests: International Shopping List Test (ISLT), ISLT-Delay, One Back Test, One Card Learning Test, Verbal Fluency Test, Category Fluency Test, Identification Test and Detection Test, To be conducted at Visit 4 (Week 6) and Visit 6 (Week 12)|Mini Mental State Examination (MMSE), Evaluate whether 26 weeks of treatment with montelukast improved scores using the MMSE. The MMSE will be used to assess the subject's mental status in terms of cognitive function and level of dementia. The MMSE test will consist of an 11-question measure that will test five areas of cognitive function: orientation, registration, attention and calculation, recall, and language. The maximum score is 30., To be conducted at Visit 1 (Screening), Visit 2 (Baseline), Visit 4 (Week 6), Visit 6 (Week 12), Visit 8 (Week 26)|Alzheimer's Disease Cooperative Study - Clinical Global Impression of Change (ADCS-CGIC), Evaluate whether 26 weeks of treatment with montelukast improved scores using the ADCS-CGIC. ADCS-CGIC assessment and rating will be based on investigator's observation of changes in the subject's cognitive, functional, and behavioral performance since the beginning of a clinical trial (baseline) until end of treatment (Week 8)., To be conducted at Visit 2 (Baseline) and Visit 8 (Week 26)|Alzheimer's Disease Cooperative Study - Activities of Daily Living, 23-items scale (ADCS-ADL23), Evaluate whether 26 weeks of treatment with montelukast improved scores using the ADCS-ADL23. The ADCS-ADL23 outcome measurement along with the assistance of the caregiver, will measure and evaluate the change from baseline and at Week 8, in the competence and performance of the subject in conducting their basic tasks and instrumental activities of daily living., To be conducted at Visit 2 (Baseline) and Visit 8 (Week 26)|Neuropsychiatric Inventory (NPI), Evaluate whether 26 weeks of treatment with montelukast improves the behavioral disturbance in patients, measured by the neuropsychiatric inventory (NPI), compared to placebo. NPI is an assessment of the frequency and severity of behavioral disturbances in dementia. The inventory comprises 10 behavioural areas: delusions, hallucinations, agitation/aggression, depression, anxiety, elation/euphoria, apathy/indifference, disinhibition, irritability/lability, aberrant motor behaviour; and 2 neurovegetative areas. Each area has a screening question between 7 and 9 follow-up questions relating to symptoms, asked if the answer to the screening question was 'yes'. Ratings will be based on frequency, severity and distress on identified behaviours. The change from Baseline and at 26 week treatment will be measured., To be conducted at Visit 2 (Baseline) and Visit 8 (Week 26)|Sheehan Suicide Tracking Scale (S-STS), Evaluate whether 26 weeks of treatment with montelukast affected suicidal risk, measured by the S-STS., To be conducted at all visits i.e., Visit 1 (Screening), Visit 2 (Baseline), Visit 3 (Week 3), Visit 4 (Week 6),Visit 5 (Week 9), Visit 6 (Week 12), Visit 7 (Week 18), and Visit 8 (Week 26)|Incontinency Frequency Rating, Evaluate whether 26 weeks of treatment with montelukast improved bladder incontinence in patients who reported this problem, measured by recording events and observations in the incontinency frequency rating., If there is a known history of incontinence, ratings to be conducted at all visits i.e., Visit 1 (Screening), Visit 2 (Baseline), Visit 3 (Week 3), Visit 4 (Week 6),Visit 5 (Week 9), Visit 6 (Week 12), Visit 7 (Week 18), and Visit 8 (Week 26)|Incidence of Treatment-Emergent Adverse Events, Clinical safety and tolerability of montelukast film will be assessed up to Week 26 by adverse event monitoring (as assessed by CTCAE v5.0)., 26 Weeks","IntelGenx Corp.","PHASE2","2018-11-26","2024-03-13"
"NCT05463731","ACTIVE_NOT_RECRUITING","DRUG: Remternetug (IV)|DRUG: Remternetug (SC)|DRUG: Placebo","Percentage of Participants Who Reach Amyloid Plaque Clearance on Amyloid PET Scan for Remternetug versus Placebo, Week 52","Mean Absolute Change from Baseline in Brain Amyloid Plaque on Amyloid PET Scan for Remternetug versus Placebo, Baseline, Week 52|Percentage of Participants Who Reach Amyloid Plaque Clearance on Amyloid PET Scan for Remternetug versus Placebo, Week 24|Mean Absolute Change from Baseline in Brain Amyloid Plaque on Amyloid PET Scan for Remternetug versus Placebo, Baseline, Week 24|Time to Reach Complete Amyloid Plaque Clearance on Remternetug versus Placebo, Up to Week 52|Pharmacokinetics (PK) Observed Trough Serum Concentration (Cmin) of Remternetug, Baseline to Week 52|Number of Participants with Treatment Emergent Anti-Drug Antibodies (TE-ADAs), Baseline to Week 52","Eli Lilly and Company","PHASE3","2022-08-01","2024-06-06"
"NCT05318976","RECRUITING","DRUG: XPro1595|DRUG: Placebo","Change in Early and Mild Alzheimer's Cognitive Composite (EMACC), Change in the Early and Mild Alzheimer's cognitive composite (EMACC) from Baseline to Week 24 in the following assessments:
* International Shopping List Test-Immediate recall (Word List learning Test)
* Digit Span Forward and Backward
* Category Fluency Test (DKEFS)
* Letter Fluency Test (DKEFS)
* Trail Making Test Parts A and B
* Digit Symbol Coding Test
To assess the efficacy of XPro1595 compared with placebo on cognitive performance in patients with early ADi, 24 Weeks","Change in Clinical Dementia Rating (CDR), Change from Baseline to Week 24 in Clinical Dementia Rating Scale (CDR)
The CDR scale is a clinician-rated dementia staging system that tracks the progression of cognitive impairment in 6 categories (memory, orientation, judgement, and problem solving, community affairs, home and hobbies, and personal care). Each category is scored on a 5-point scale in which None = 0, Questionable = 0.5, Mild = 1, Moderate = 2, and Severe = 3. The global CDR score is established by clinical scoring rules and has values of 0 (no dementia), 0.5, (questionable dementia), 1 (mild dementia), 2 (moderate dementia), and 3 (severe dementia). The Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) is obtained by adding the ratings in each of the 6 categories and ranges from 0 to 18 with higher scores indicative of greater impairment.
To assess the effect of XPro1595 compared with placebo on cognition and global function in patients with early ADi, 24 Weeks|Change in apparent fiber density (AFD), Change from Baseline to Week 24 in apparent fiber density (AFD)
To assess the efficacy of XPro1595 compared with placebo on axonal integrity in patients with early ADi, 24 Weeks|Change in Everyday Cognition (E-Cog), Change from Baseline to Week 24 in Everyday Cognition (E-Cog)
To evaluate the effect of XPro1595 compared with placebo on E-Cog, 24 Weeks|Change in Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS-MCI-ADL), Change from Baseline to Week 24 in Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS-MCI-ADL)
To assess the effect of XPro1595 compared with placebo on ADL in patients with early ADi., 24 Weeks|Change in myelin content, Change from Baseline to Week 24 in free-water-corrected tissue Radial diffusivity and 1 of the following i) MRI-specific myelin contrast: ii) a magnetization transfer ratio (MTR) iii) an inhomogeneous magnetization transfer (MT) or iv) an myelin water fraction (MWF) map
To assess the efficacy of XPro1595 compared with placebo on myelin in patients with early ADi., 24 Weeks|Change in non-cognitive behavioral symptoms, Change from Baseline to Week 24 in (Neuropsychiatric Inventory \[NPI\] caregiver items)
To assess the effect of XPro1595 compared with placebo on noncognitive behavioral symptoms in patients with early ADi, 24 Weeks|Change in gray matter integrity, Change from Baseline to Week 24 in Cortical Disarray Measurement (CDM®)
To assess the efficacy of XPro1595 compared with placebo on gray matter integrity in patients with early ADi, 24 Weeks|Change in blood inflammatory and neurodegeneration biomarkers (on blood inflammatory and neurodegeneration biomarker amyloid), Number of participants with a reduction in blood inflammatory and neurodegeneration biomarkers (on blood inflammatory and neurodegeneration amyloid) from Baseline to Week 24.
To assess the efficacy of XPro1595 compared with placebo on blood inflammatory and neurodegeneration biomarkers (on blood inflammatory and neurodegeneration biomarker amyloid)., 24 Weeks|Change in blood inflammatory and neurodegeneration biomarkers (on blood inflammatory and neurodegeneration biomarker pTau), Change from Baseline to Week 24 in blood inflammatory and neurodegeneration biomarkers (on blood inflammatory and neurodegeneration biomarker pTau)
To assess the efficacy of XPro1595 compared with placebo on blood inflammatory and neurodegeneration biomarkers (on blood inflammatory and neurodegeneration biomarker pTau), 24 Weeks|Change in brain structure neurodegeneration, Changes from Baseline to Week 24 in volumetric magnetic resonance imaging (MRI)
To assess the efficacy of XPro1595 compared with placebo on brain structure neurodegeneration, 24 Weeks|Number of participants who experience adverse events and serious adverse events, Clinically significant abnormalities of laboratory values, physical findings, electrocardiogram findings and other safety assessments will be recorded as adverse events if the findings meet the defined criteria for adverse events., Baseline up to 28 days post last dose","Inmune Bio, Inc.","PHASE2","2022-02-28","2025-03-31"
"NCT04678453","TERMINATED","BIOLOGICAL: SNK01","To determine the safety profile of SNK01 monotherapy in patients with mild cognitive impairment (MCI) or Alzheimer's Disease by monitoring for adverse events., Evaluated by the number of treatment emergent adverse event (TEAE) Grade 3 or higher considered to be related to SNK01, adverse events (AEs) of Grade 3 or higher using the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE) v5.0, measurements of vital signs, clinical laboratory tests and physical examination., Up to 6 months|To determine the tolerability of SNK01 monotherapy in patients with mild cognitive impairment (MCI) or Alzheimer's Disease by monitoring for adverse events., Evaluated by the number of treatment emergent adverse event (TEAE) Grade 3 or higher considered to be related to SNK01, adverse events (AEs) of Grade 3 or higher using the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE) v5.0, measurements of vital signs, clinical laboratory tests and physical examination., Up to 6 months|To determine the maximum tolerated dose (MTD)/recommended Phase 2 dose (RP2D) of SNK01 monotherapy., Assessed by the incidence of dose-limiting toxicities, defined by treatment emergent adverse event (TEAE) Grade 3 or higher considered to be related to SNK01, in each dose level., Up to 6 months","To assess preliminary efficacy of SNK01 measured by Alzheimer's Disease Assessment Scale Cognitive subscale (ADAS-Cog)., Baseline, Week 11, End of Study (Week 22)|To assess preliminary efficacy of SNK01 measured by Mini-Mental Status Exam (MMSE)., Baseline, Week 11, End of Study (Week 22)|To assess preliminary efficacy of SNK01 measured by Clinical Dementia Rating Scale: Sum of Boxes (CDR-SB)., Baseline, Week 11, End of Study (Week 22)|To assess preliminary efficacy of SNK01 measured by Alzheimer's Disease Composite Score (ADCOMS)., Baseline, Week 11, End of Study (Week 22)|To assess preliminary efficacy of SNK01 measured by cerebrospinal fluid (CSF) biomarkers: amyloid beta 42, T-tau and P-tau., Baseline, Week 11, End of Study (Week 22)","NKGen Biotech, Inc.","PHASE1","2021-01-06","2023-08-16"
"NCT04381468","COMPLETED","DRUG: Pepinemab|DRUG: Placebo","Number of subjects with treatment emergent adverse events (TEAEs), TEAEs are defined as Adverse events (AEs) with onset after date-time of first dose, or medical conditions present prior to the start of IP but increased in severity or relationship after date-time of first dose of IP., Up to 40 weeks","Effects on brain metabolism, As assessed by \[18F\]fluorodeoxyglucose (FDG)-PET in the resting state following administration of 20 mg/kg or 40 mg/kg pepinemab or placebo., Up to 36 weeks|Alzheimer's Disease Assessment Scale- Cognitive subscale (ADAS-cog13), The Alzheimer's Disease Assessment Scale (ADAS-cog13) will be performed to test the cognition of subjects. The score ranges from 0 to 75，and higher values represent a better outcome., Up to 36 weeks|Clinical Dementia Rating (CDR), The CDR assesses 3 domains of cognition (memory, orientation, judgment/problem solving) and 3 domains of function (community affairs, home/hobbies, personal care) using semi-structured interviews of both the study subject and an informant carried out by a trained rater. The CDR is scored using a standard methodology. Each domain is rated on a 5-point scale and lower numbers represent a better outcome., Up to 36 weeks|Mini Mental State Examination (MMSE), Mini-Mental State Examination scores(MMSE) will be performed to test the cognition of subjects. The score ranges from 0 to 30，and higher values represent a better outcome., Up to 36 weeks|Alzheimer's Disease Cooperative Study - Activities of Daily Living, The ADCS-ADL assesses the competence of participants with AD in basic and instrumental activities of daily living (ADLs). It is administered by a clinician as a structured interview with a caregiver. The maximum score is 30. A higher score is better., Up to 36 weeks|Alzheimer's Disease Cooperative Study- Clinical Global Impression of Change (ADCS-CGIC), The ADCS-CGIC focuses on clinicians' observations of change in the patient's cognitive, functional, and behavioral performance since the beginning of a trial. The ADCS-CGIC gives a discrete score that ranges from 1-7 with 7 being the worst outcome., Up to 36 weeks|Neuropsychiatric Inventory (NPI), The NPI is a trial partner interview-based rating scale assessing 12 behavioral disturbances occurring in dementia subjects. Items are scored for both frequency and severity. Total scores range from 0-144 with higher scores indicating greater behavioral disturbances. For each item, the associated trial partner distress is also assessed., Up to 36 weeks|Immunogenicity of pepinemab in serum, As assessed by the frequency and titer of anti-drug antibodies., Up to 36 weeks","Vaccinex Inc.","PHASE1|PHASE2","2021-07-22","2024-06-05"
"NCT05328115","RECRUITING","BIOLOGICAL: ALZ-101|OTHER: Placebo","Number of adverse events (AEs) and serious AEs (SAEs), Any adverse or serious adverse events that could be associated with the study procedure., From enrolment through study completion, an average 1 year|Number of participants with treatment-emergent AEs and SAEs, Any adverse or serious adverse events that could be associated with the treatment., From enrolment through study completion, an average 1 year|Number of AEs of special interest (AESIs), including injection-related events (IREs)and amyloid-related imaging abnormalities (ARIAs), Any adverse or adverse events of special interest that could be associated with the treatment., From enrolment through study completion, an average 1 year|Number of participants with clinically significant cognitive or functional worsening of Alzheimer's Disease(AD) according to Alzheimer's DiseaseCooperative Study -Clinician's Global Impression of Change (ADCS-CGIC)scores of 6 and 7, Any clinically significant worsening of cognitive functions as assessed by Alzheimer's DiseaseCooperative Study -Clinician's Global Impression of Change \[ADCS-CGIC\]scores. Scores are graded from 1 to 7, where 1 means very much improved cognitive function and 7 very much worsening cognitive function., From first dose to study completion, an average 1 year","Aβ-specific antibody titre, Aβ-specific antibody titre of post-baseline samples (if baseline sample is negative) OR titre fold increase defined as the ratio of any post-baseline Aβ-specific antibody titre to baseline antibody titre in serum, From first dose to study completion, an average 1 year|Number of titre-based responders, Number of titre-based responders, defined as post-baseline sample becoming positive for Aβ-specific antibodies(if baseline sample is negative) OR post-baseline titre at least four times the baseline antibody titre in serum, From first dose to study completion, an average 1 year|Area under serum Aβ-specific antibody titre curve (AUC), Area under serum Aβ-specific antibody titre curve (AUC) from Week 0 to Week 20., From first dose to week 20","Alzinova AB","PHASE1","2021-09-30","2025-01-15"
"NCT06285240","ACTIVE_NOT_RECRUITING","DRUG: MK-1167|DRUG: Donepezil|DRUG: Placebo","Number of participants experiencing an Adverse Event (AE), An AE is any untoward medical occurrence in a clinical study participant, temporally associated with the use of study intervention, whether or not considered related to the study intervention. An AE can therefore be any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease (new or exacerbated) temporally associated with the use of a study intervention. The number of participants who experienced an AE will be reported., Up to approximately 7 weeks|Number of participants discontinuing study treatment due to an AE, An AE is any untoward medical occurrence in a clinical study participant, temporally associated with the use of study intervention, whether or not considered related to the study intervention. An AE can therefore be any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease (new or exacerbated) temporally associated with the use of a study intervention. The number of participants who discontinue study treatment due to an AE will be reported., Up to approximately 4 weeks","Area Under the Plasma Concentration-Time Curve from Dosing to 24 Hours Postdose (AUC0-24) of MK-1167, AUC0-24 is a measure of the total amount of drug in the plasma from the dose to Hour 24., At designated time points up to day 31|Maximum Plasma Concentration (Cmax) of MK-1167, Cmax is a measure of the maximum amount of drug in the plasma after the dose is given., At designated time points up to day 31|Plasma Concentration at 24 hours postdose (C24), Plasma concentration of MK-1167 at 24 hours (C24) will be reported., At designated time points up to day 31|Time to Reach Maximum Plasma Concentration (Tmax) of MK-1167, Tmax is a measure of the time to reach the maximum concentration in plasma after the drug dose., At designated time points up to day 51|Apparent Terminal Half-Life (t½) of MK-1167, Apparent t½ is the time required for a given drug concentration in the plasma to decrease by 50%., At designated time points up to day 51|Oral Clearance (CL/F) of MK-1167 from Plasma, CL/F is defined as the rate at which MK-6552 is completely removed from plasma., At designated time points up to day 51|Apparent Volume of Distribution (Vz/F) of MK-1167, Vz/F is defined as the theoretical volume in which the total amount of drug would need to be uniformly distributed to produce the desired blood concentration of a drug., At designated time points up to day 51","Merck Sharp & Dohme LLC","PHASE1","2024-03-28","2024-09-20"
"NCT05522387","ACTIVE_NOT_RECRUITING","DRUG: XPro1595","Number of participants who experience adverse events and serious adverse events, Change from Baseline to Weeks 55, or 74 in the OLE Study
Clinically significant abnormalities of laboratory values, physical findings, electrocardiogram (ECG) findings and other safety assessments will be recorded as adverse events if the findings meet the defined criteria for adverse events., Weeks 55, or 74 in the OLE Study","To evaluate the change in cognitive performance following administration of open-label XPro1595, Change from Baseline on the Early and Mild Alzheimer's Cognitive Composite (EMACC) (Jaeger 2017) made up of the following tests:
* The Grocery List Test- Immediate recall (Word List Learning Test-Immediate recall)
* Trail Making Test Part A and B
* Digit Symbol Coding Test
* Digit Span Forward and Backward
* Category Fluency Test (DKEFS) Letter Fluency Test (DKEFS), Week 55 in the OLE Study|To evaluate the change in cognition and global function following administration of open-label XPro1595, Change from Baseline in the double-blind study (for those on XPro1595 during the double-blind study) or Change from Baseline in the OLE Study (for those on placebo during the double-blind study) to Week 55 in the OLE study for the Clinical Dementia Rating Scale Sum of Boxes (CDR-SB), Week 55 in the OLE Study|To evaluate the change in non-cognitive behavioral symptoms following open-label administration of XPro1595, Change from Baseline in the double-blind study (for those on XPro1595 during the double-blind study) or Change from Baseline in the OLE Study (for those on placebo during the double-blind study) to Week 55 in the OLE study on the Neuropsychiatric Inventory (NPI-12) study partner items.
The NPI-12 total score is calculated by adding the scores of the domains (each domain score ranges from 0 to 12). The NPI-12 total score is based upon the first 10 items and ranges from (0 to 10) with higher scores indicating greater behavioral impairment., Week 55 in the OLE Study|To evaluate the change Change from Baseline on the Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS- MCI- ADL), Change from Baseline in the double-blind study (for those on XPro1595 during the double-blind study) or Change from Baseline in the OLE Study (for those on placebo during the double-blind study) to Week 55 in the OLE study on the Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS- MCI- ADL)
The 23-item Alzheimer's Disease Cooperative Study - Mild Cognitive Impairment Activities of Daily Living (ADCS-MCI-ADL) Scale has good test-retest reliability, will be utilized to assess performance functioning in MCI patients (Galasko et al., 1997; Douglas Galasko et al., 2006; Pedrosa et al., 2010)., Week 55 in the OLE Study|To evaluate the change on blood inflammatory and neurodegeneration biomarkers following open-label administration of XPro1595 (on blood inflammatory and neurodegeneration biomarker amyloid), Change from Baseline in the double-blind study (for those on XPro1595 during the double-blind study or for those in the PK Lead-In Study) or Change from Baseline in the OLE Study (for those on placebo during the double-blind study) to Weeks 55, or 74 in the OLE study on blood inflammatory and neurodegeneration biomarkers (on blood inflammatory and neurodegeneration biomarker amyloid)., Weeks 55, or 74 in the OLE Study|To evaluate the change on blood inflammatory and neurodegeneration biomarkers following open-label administration of XPro1595 (on blood inflammatory and neurodegeneration biomarker pTau), Change from Baseline in the double-blind study (for those on XPro1595 during the double-blind study or for those in the PK Lead-In Study) or Change from Baseline in the OLE Study (for those on placebo during the double-blind study) to Weeks 55, or 74 in the OLE study on blood inflammatory and neurodegeneration biomarkers (on blood inflammatory and neurodegeneration biomarker pTau)., Weeks 55, or 74 in the OLE Study|To evaluate the change on imaging neuroinflammation following open-label administration of XPro1595, Change from Baseline in the double-blind study (for those on XPro1595 during the double-blind study or for those in the PK Lead-In Study) or Change from Baseline in the OLE Study (for those on placebo during the double-blind study) to Weeks 55, or 74 in the OLE study in Magnetic Resonance Imaging (MRI) neuroinflammation (White matter Free Water)., Weeks 55, or 74 in the OLE Study|To evaluate the change on axonal integrity following open-label administration of XPro1595, Change from Baseline in the double-blind study (for those on XPro1595 during the double-blind study or for those in the PK Lead-In Study) or Change from Baseline in the OLE Study (for those on placebo during the double-blind study) to Weeks 55, or 74 or in the OLE study in MRI Apparent Fiber Density (AFD)., Weeks 55, or 74 in the OLE Study|To evaluate the change in Everyday Cognition (ECog) following open-label administration of XPro1595, Change from Baseline in the double-blind study (for those on XPro1595 during the double-blind study) or Change from Baseline in the OLE Study (for those on placebo during the double-blind study) to Week 55 in the OLE study on Everyday Cognition (ECog)., Week 55 in the OLE Study","Inmune Bio, Inc.","PHASE2","2023-02-21","2024-06-05"
"NCT05104463","COMPLETED","DRUG: CST-2032, matching placebo for CST-2032, CST-107, matching placebo for CST-107","Treatment-emergent adverse events, The number of subjects experiencing treatment-emergent adverse events after receiving CST-2032 doses of 3mg and 6mg co-administered with a CST-107 dose of 3mg compared to placebo, Change from Baseline after 14 days of treatment|Vital Signs, Change from Baseline in supine blood pressure (diastolic blood pressure and systolic blood pressure) after CST-2032 doses of 1mg and 6mg co-administered with a CST-107 dose of 3mg compared to placebo, Change from Baseline after 14 days of treatment|Electrocardiograms (ECGs), Change from Baseline in QTc interval using the Fredericia (QTcF) and Bazett (QTcB) corrections after CST-2032 doses of 1mg and 6mg co-administered with a CST107 dose of 3mg compared to placebo, Change from Baseline after 14 days of treatment","Change from Baseline in CANTAB Reaction Time Task, Measures changes in cognition by testing psychomotor speed (selecting a flashing circle on a touch tablet screen as quickly as possible)., Change from Baseline after 14 days of treatment|Change from Baseline in CANTAB Rapid Visual Information Processing, Measures changes in cognition by testing sustained attention, response accuracy, target sensitivity and reaction times. Single digits appear in random order in the center of a touch tablet screen and subjects must detect a series of 3-digit target sequences and respond by touching the button at the bottom of the screen when they see the final number of the sequence., Change from Baseline after 14 days of treatment|Change from Baseline in CANTAB Verbal Recognition Memory, Measures changes in cognition by testing memory (recall of 18 words flashed onto a touch tablet screen)., Change from Baseline after 14 days of treatment|Change from Baseline in CANTAB Adaptive Tracking Task, Measures changes in visual and motor coordination and vigilance. In this task, a small circle (target) continuously moves across the screen in a semi-randomized fashion, so as to minimize the subject's ability to predict the trajectory of the target. The subject is instructed to use his/her finger on the touch screen to move a small dot so that it is consistently within the center of the moving target on the screen. During the test, the speed of the circle is adjusted in response to the subject's ability to keep the dot in the circle, ensuring that the test is adapted to the individual subject., Change from Baseline after 14 days of treatment|Change from Baseline in CANTAB Paired Associates Learning Test, Measures changes in cognition by testing attention (remembering the location of an abstract pattern on a touch tablet screen)., Change from Baseline after 14 days of treatment|Change from Baseline in CANTAB Stop Signal Task, Measures response inhibition (impulse control). Subjects must respond to an arrow stimulus by selecting one of two options, depending on the direction in which the arrow points. If an audio tone is present, subjects must withhold making that response (inhibition)., Change from Baseline after 14 days of treatment|Change from Baseline in Negative Emotional Bias in the Facial Expression Recognition Task (FERT), Faces with six different basic emotions (happiness, fear, anger, disgust, sadness, surprise) are briefly displayed on a screen and participants are required to indicate the expression of the face via a button-press., Change from Baseline after 14 days of treatment","CuraSen Therapeutics, Inc.","PHASE2","2022-04-12","2023-12-01"
"NCT05788848","RECRUITING","BEHAVIORAL: VRCT","Feasibility and Usability of Virtual Reality Cognitive Therapy (VRCT) for Alzheimer's Patients: Assessment of Patient-Reported Simulator Sickness and System Usability using The Simulator Sickness Questionnaire and System Usability Scale, Patient-Reported Simulator Sickness and System Usability using The Simulator Sickness Questionnaire and System Usability Scale Questionnaire, from baseline at 7 weeks|Acceptability of Virtual Reality Cognitive Training (VRCT) for Alzheimer's Patients: Assessment of Patient-Reported Acceptability using Free-Form Suggestion Feedback, Patient-reported Acceptability of VRCT using Free-Form Suggestion Feedback such as acceptable, not acceptable or acceptable with changes., from baseline at 7 weeks","Instrumental Activities of Daily Living (IADL) performance, The IADL performance measured by change in The Lawton IADL performance, from baseline at 7 weeks|Cognitive Impairment (CI), Cognitive Impairment measured by change in the Cognitive Failures Questionnaire (CFQ), from baseline at 7 weeks|Anxiety and Depression, Anxiety and Depression will also be measured by change in the Hospital Anxiety-Depression Scale (HADS) to monitor as a potential confounder of cognition and function., from baseline at 7 weeks","Claritytek, Inc.","PHASE1","2023-03-31","2024-09-20"
"NCT05395624","RECRUITING","DRUG: 18F-OP-801","The number of participants with treatment emergent adverse events (Safety and Tolerability), Safety of single dose of 18F-OP-801 as measured by treatment-related adverse events as assessed by CTCAE v5.0, Safety and tolerability of 18F-OP-801 as assessed by the frequency, and severity of treatment-emergent adverse events (TEAEs) from Day 1 to Day 15 or Day 18-29","Measurement of biodistribution of 18F-OP-801 for each participant, Measure biodistribution of 18F-OP-801 using whole body PET/MRI or PET/computed tomography (CT) scans, Through study completion at Day 15 or Day 18-29|Measurement of clearance of 18F-OP-801 for each participant, Measure clearance of 18F-OP-801 using whole body PET/MRI or PET/computed tomography (CT) scans, Through study completion at Day 15 or Day 18-29|Assess ability of 18F-OP-801 to detect regions of neuroinflammation in ALS, AD, MS, and PD participants, Determine correlation between MRI and PET images in each subject, quantifying the extent of 18F-OP-801 uptake in the region of neuroinflammation relative to normal brain section in the same subject as measured by whole body PET/MRI or PET/CT scans, Through study completion at Day 15 or Day 18-29|Assess test/retest imaging repeatability, Compare regional and global brain uptake of 18F-OP-801 on two separate occasions, Through study completion at Day 18-29|Correlation between plasma NfL levels and degree of 18F-OP-801 uptake in each participant, Correlation of plasma NfL levels with brain PET signal, Screening and Day 1|Correlation between relevant clinical scales and degree of 18F-OP-801 uptake in each participant, Correlation of ALSFRS-R/PUMNS, MMSE, EDSS or SE-ADL scores with brain PET signal, Screening and Day 1","Ashvattha Therapeutics, Inc.","PHASE1|PHASE2","2023-02-02","2025-01-01"
"NCT05183516","UNKNOWN","BIOLOGICAL: tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine","Change in Plasma Amyloid, Amyloid peptides 42/40 ratio, start of study and 6 months|Change in Plasma Tau, a brain-specific protein that may be expected to leak from brain interstitial fluid to the plasma compartment in Alzheimer's disease as well as its preclincial and prodromal stages., start of study and 6 months","Presence of B. pertussis, Nasal swab for the presence of B. pertussis, start of study and 6 months|B. pertussis IgG, Blood test for history of B. pertussis, start of study","Mindful Diagnostics and Therapeutics, LLC","PHASE1|PHASE2","2023-05-01","2023-12-31"
